FM1001,FP0101,COLD_PLATTER,Five Variety Cold Platter,FISH|SHELLFISH|EGG|GLUTEN,0.00,Pickled jellyfish prawn chicken
FM1002,FP0101,SOUP,Braised Seafood Soup,SHELLFISH|GLUTEN|EGG,0.00,Shark fin substitute
FM1003,FP0101,SEAFOOD,Steamed Sea Bass Soy,FISH|SOY|GLUTEN,0.00,Light soy ginger
FM1004,FP0101,POULTRY,Roast Crispy Chicken,GLUTEN,0.00,Sesame salt dip
FM1005,FP0101,PRAWN,Wok Fried Tiger Prawns Cereal,SHELLFISH|GLUTEN,0.00,Curry leaves
FM1006,FP0101,MEAT,Beef with Black Pepper,SOY|GLUTEN,0.00,Sizzling plate
FM1007,FP0101,VEGETABLE,Broccoli with Shiitake,SOY|GLUTEN,0.00,Oyster style sauce
FM1008,FP0101,RICE_NOODLE,Lotus Leaf Fragrant Rice,GLUTEN,0.00,Chinese sausage style
FM1009,FP0101,DESSERT,Red Bean Soup with Lotus,,0.00,Longan and lily bulb
FM1010,FP0102,COLD_PLATTER,Deluxe Cold Platter,FISH|SHELLFISH|EGG|GLUTEN,0.00,Abalone slice smoked duck
FM1011,FP0102,SOUP,Double Boiled Chicken Soup with Ginseng,,0.00,Herbal dates goji
FM1012,FP0102,ABALONE,Braised Abalone with Mushroom,SHELLFISH,80.00,Per table upgrade
FM1013,FP0102,SEAFOOD,Steamed Grouper Hong Kong Style,FISH|SOY|GLUTEN,0.00,Premium soy
FM1014,FP0102,POULTRY,Roast Duck with Plum Sauce,GLUTEN,0.00,Quartered service
FM1015,FP0102,PRAWN,Butter Prawns with Oats,SHELLFISH|DAIRY|GLUTEN,0.00,Buttery aroma
FM1016,FP0102,VEGETABLE,Asparagus with Scallop,SHELLFISH|SOY|GLUTEN,30.00,Add scallop
FM1017,FP0102,RICE_NOODLE,Ee Fu Noodles with Chives,GLUTEN,0.00,Wedding noodle
FM1018,FP0102,DESSERT,Sweetened Red Dates and Longan,,0.00,Warm dessert
FM1020,FP0103,APPETIZER,Kerabu Mango Salad,NUTS,0.00,Peanut garnish
FM1021,FP0103,POULTRY,Ayam Masak Merah,,0.00,Tomato chili gravy
FM1022,FP0103,MEAT,Daging Rendang Tok,,0.00,Slow cooked
FM1023,FP0103,FISH,Ikan Masak Lemak Cili Api,FISH|DAIRY,0.00,Coconut milk
FM1024,FP0103,VEGETABLE,Acar Rampai,,0.00,Pickled veg
FM1025,FP0103,RICE,Nasi Minyak,,0.00,Fragrant rice
FM1026,FP0103,DESSERT,Kuih Muih Assortment,EGG|DAIRY|GLUTEN,0.00,Assorted traditional
